created_date,assignee_email,assignee_team,technology,ips_id,ips_title,predicted_category_existing,predicted_category_model,confidence,human_category,label_notes
2023-01-30,,wifi,WiFi,00780979,[Lenovo ThinkPad JP][LCFC][Tiger Serval intel][AX201] Issue happened when customer was moving machines (Maybe related with roaming),,Roaming,,,[補標目標: Roaming]
2019-07-17,,wifi,WiFi,00450023,[Lenovo IdeaPad][YogaC940-15IRH SIT][RS6][Lenovo audit][9560/AX200]Unit cannot roaming between different router under MS with Intel wlan card,,Roaming,,,[補標目標: Roaming]
2024-02-01,,wifi,WiFi,00861236,Unable to communicate after roaming,,Roaming,,,[補標目標: Roaming]
2023-03-24,,wifi,WiFi,00792873,[Jinke][WIFI][Huawei][MendelF][ADL][PVT]PC did not roam to 2.4G in low RSSI as ourr equirement,,Roaming,,,[補標目標: Roaming]
2023-10-12,,wifi,WiFi,00836298,[AX211][RPL] Wifi suddenly disconnects during roaming transition,,Roaming,,,[補標目標: Roaming]
2024-09-02,,wifi,WiFi,00906614,[WiFi]Roaming from an AP with strong signal to an AP with weak signal,,Roaming,,,[補標目標: Roaming]
2021-08-18,,wifi,WiFi,00638845,"[HP/SIO2013965/Win10/KBL/SfP/ComputronW14] De-authorised from the Wi-Fi network while roaming, and could not connect back.",,Roaming,,,[補標目標: Roaming]
2023-10-12,,wifi,WiFi,00836298,[AX211][RPL] Wifi suddenly disconnects during roaming transition,,Roaming,,,[補標目標: Roaming]
2023-12-06,,wifi,WiFi,00848762,[HUAWEI][HUAQIN][MachD][Intel TGL][Intel AX 201][WIFI][Win11]WiFi will automatically roam to a router that is further away when the computer remains stationary.,,Roaming,,,[補標目標: Roaming]
2025-09-22,,wifi,WiFi,00978447,(Copy Of 00952724) [Dell_RPL]Intel AX211 on Multiple Platforms WLAN Disconnect when Roaming Cisco AP,,Roaming,,,[補標目標: Roaming]
2022-01-24,,wifi,WiFi,00678478,"[XiaoMi][Bitland][A11][ADL-P][Win11][100%]During the miracast ( PC to PC via AP), the screen garbage and horizontal stripes can be observed on the PCwhich is projected.",,Miracast,,,[補標目標: Miracast]
