"title","title_key","label","file","label_count","labels"
"TyP2 6GHz output power 2-5dBm drop on conductive test (3/19 and 4/16)","typ2 6ghz output power 2-5dbm drop on conductive test (3/19 and 4/16)","RF","CFE_input\weekly_labels_20260501_170001.csv","3","RF | Performance | Power Consumption"
"TyP2 6GHz output power 2-5dBm drop on conductive test (3/19 and 4/16)","typ2 6ghz output power 2-5dbm drop on conductive test (3/19 and 4/16)","Performance","CFE_input\weekly_labels_20260508_230403.csv","3","RF | Performance | Power Consumption"
"TyP2 6GHz output power 2-5dBm drop on conductive test (3/19 and 4/16)","typ2 6ghz output power 2-5dbm drop on conductive test (3/19 and 4/16)","Performance","CFE_input\weekly_labels_20260515_170001.csv","3","RF | Performance | Power Consumption"
"TyP2 6GHz output power 2-5dBm drop on conductive test (3/19 and 4/16)","typ2 6ghz output power 2-5dbm drop on conductive test (3/19 and 4/16)","Power Consumption","CFE_input\weekly_labels_20260522_183733.csv","3","RF | Performance | Power Consumption"
"TyP2 6GHz output power 2-5dBm drop on conductive test (3/19 and 4/16)","typ2 6ghz output power 2-5dbm drop on conductive test (3/19 and 4/16)","Performance","CFE_input\weekly_labels_20260522_183733.csv","3","RF | Performance | Power Consumption"
"TyP2 6GHz output power 2-5dBm drop on conductive test (3/19 and 4/16)","typ2 6ghz output power 2-5dbm drop on conductive test (3/19 and 4/16)","Power Consumption","CFE_input\weekly_labels_20260523_143606.csv","3","RF | Performance | Power Consumption"
"TyP2 6GHz output power 2-5dBm drop on conductive test (3/19 and 4/16)","typ2 6ghz output power 2-5dbm drop on conductive test (3/19 and 4/16)","Performance","CFE_input\weekly_labels_20260523_143606.csv","3","RF | Performance | Power Consumption"
"TyP2 6GHz output power 2-5dBm drop on conductive test (3/19 and 4/16)","typ2 6ghz output power 2-5dbm drop on conductive test (3/19 and 4/16)","Power Consumption","CFE_input\weekly_labels_20260523_143640.csv","3","RF | Performance | Power Consumption"
"TyP2 6GHz output power 2-5dBm drop on conductive test (3/19 and 4/16)","typ2 6ghz output power 2-5dbm drop on conductive test (3/19 and 4/16)","Performance","CFE_input\weekly_labels_20260523_143640.csv","3","RF | Performance | Power Consumption"
"TyP2 6GHz output power 2-5dBm drop on conductive test (3/19 and 4/16)","typ2 6ghz output power 2-5dbm drop on conductive test (3/19 and 4/16)","Power Consumption","CFE_input\weekly_labels_20260523_145957.csv","3","RF | Performance | Power Consumption"
"TyP2 6GHz output power 2-5dBm drop on conductive test (3/19 and 4/16)","typ2 6ghz output power 2-5dbm drop on conductive test (3/19 and 4/16)","Performance","CFE_input\weekly_labels_20260523_145957.csv","3","RF | Performance | Power Consumption"
"TyP2 6GHz output power 2-5dBm drop on conductive test (3/19 and 4/16)","typ2 6ghz output power 2-5dbm drop on conductive test (3/19 and 4/16)","Power Consumption","CFE_input\weekly_labels_20260523_150056.csv","3","RF | Performance | Power Consumption"
"TyP2 6GHz output power 2-5dBm drop on conductive test (3/19 and 4/16)","typ2 6ghz output power 2-5dbm drop on conductive test (3/19 and 4/16)","Performance","CFE_input\weekly_labels_20260523_150056.csv","3","RF | Performance | Power Consumption"
"TyP2 6GHz output power 2-5dBm drop on conductive test (3/19 and 4/16)","typ2 6ghz output power 2-5dbm drop on conductive test (3/19 and 4/16)","Power Consumption","CFE_input\weekly_labels_20260525_100744.csv","3","RF | Performance | Power Consumption"
"TyP2 6GHz output power 2-5dBm drop on conductive test (3/19 and 4/16)","typ2 6ghz output power 2-5dbm drop on conductive test (3/19 and 4/16)","Performance","CFE_input\weekly_labels_20260525_100744.csv","3","RF | Performance | Power Consumption"
"TyP2 6GHz output power 2-5dBm drop on conductive test (3/19 and 4/16)","typ2 6ghz output power 2-5dbm drop on conductive test (3/19 and 4/16)","RF","CFE_reviewed_issue\wifi_tools_piece_03_of_07_FrankLee.csv","3","RF | Performance | Power Consumption"
"Restricted mode long reconnection time after resume from sleep","restricted mode long reconnection time after resume from sleep","Connectivity","CFE_input\weekly_labels_20260501_170001.csv","2","Connectivity | Power Consumption"
"Restricted mode long reconnection time after resume from sleep","restricted mode long reconnection time after resume from sleep","Power Consumption","CFE_input\weekly_labels_20260508_230403.csv","2","Connectivity | Power Consumption"
"Restricted mode long reconnection time after resume from sleep","restricted mode long reconnection time after resume from sleep","Connectivity","CFE_input\weekly_labels_20260515_170001.csv","2","Connectivity | Power Consumption"
"Restricted mode long reconnection time after resume from sleep","restricted mode long reconnection time after resume from sleep","Connectivity","CFE_input\weekly_labels_20260522_183733.csv","2","Connectivity | Power Consumption"
"Restricted mode long reconnection time after resume from sleep","restricted mode long reconnection time after resume from sleep","Connectivity","CFE_input\weekly_labels_20260523_143606.csv","2","Connectivity | Power Consumption"
"Restricted mode long reconnection time after resume from sleep","restricted mode long reconnection time after resume from sleep","Connectivity","CFE_input\weekly_labels_20260523_143640.csv","2","Connectivity | Power Consumption"
"Restricted mode long reconnection time after resume from sleep","restricted mode long reconnection time after resume from sleep","Connectivity","CFE_input\weekly_labels_20260523_145957.csv","2","Connectivity | Power Consumption"
"Restricted mode long reconnection time after resume from sleep","restricted mode long reconnection time after resume from sleep","Connectivity","CFE_input\weekly_labels_20260523_150056.csv","2","Connectivity | Power Consumption"
"Restricted mode long reconnection time after resume from sleep","restricted mode long reconnection time after resume from sleep","Connectivity","CFE_input\weekly_labels_20260525_100744.csv","2","Connectivity | Power Consumption"
"Restricted mode long reconnection time after resume from sleep","restricted mode long reconnection time after resume from sleep","Connectivity","CFE_input\wifi_tools_piece_01_of_07_Timdaway.csv","2","Connectivity | Power Consumption"
"2.4G DRTU Target power difference at the same SKU","2.4g drtu target power difference at the same sku","Performance","CFE_input\weekly_labels_20260501_170001.csv","2","Performance | OEM Tools"
"2.4G DRTU Target power difference at the same SKU","2.4g drtu target power difference at the same sku","OEM Tools","CFE_reviewed_issue\wifi_tools_piece_02_of_07_Frankyang (2).csv","2","Performance | OEM Tools"
"When using the iper3 tool to run RX and TX while connecting to a 2.4G WiFi and Bluetooth device, the Bluetooth speaker experiences stuttering issues.","when using the iper3 tool to run rx and tx while connecting to a 2.4g wifi and bluetooth device, the bluetooth speaker experiences stuttering issues.","Performance","CFE_reviewed_issue\bt_software_piece_02_of_07_Juan.csv","2","Performance | Connectivity"
"When using the iper3 tool to run RX and TX while connecting to a 2.4G WiFi and Bluetooth device, the Bluetooth speaker experiences stuttering issues.","when using the iper3 tool to run rx and tx while connecting to a 2.4g wifi and bluetooth device, the bluetooth speaker experiences stuttering issues.","Connectivity","CFE_reviewed_issue\bt_software_piece_04_of_07_Wesley.csv","2","Performance | Connectivity"
