source_file,technology,ips_title,predicted_category_model,predicted_category_existing,human_category,confidence
weekly_labels_20260425_151911.csv,WiFi,[Honor][LUX][NvwaC][ARL-HX][AX211][WiFi]Is it possible to create a 5GHz SoftAP on the 2.4GHz and DFS channels in Belarus,Not WiFi Issue,Not WiFi Issue,P2P,0.0789
weekly_labels_20260425_154714.csv,WiFi,[Honor][LUX][NvwaC][ARL-HX][AX211][WiFi]Is it possible to create a 5GHz SoftAP on the 2.4GHz and DFS channels in Belarus,Not WiFi Issue,Not WiFi Issue,P2P,0.0789
weekly_labels_20260425_162335.csv,WiFi,[Honor][LUX][NvwaC][ARL-HX][AX211][WiFi]Is it possible to create a 5GHz SoftAP on the 2.4GHz and DFS channels in Belarus,Not WiFi Issue,Not WiFi Issue,P2P,0.0789
wifi_tools_piece_06_of_07_Zhiqiang (2).csv,wifi,"The result show fail when running Stress-WiFi Ping (S4) test.(F/R:11/40units,13/4000cycles)",Connectivity,Connectivity,Connectivity,0.0878
weekly_labels_20260425_151911.csv,WiFi,"[Lenovo][Huaqin][PTL-H][BE213][S511_14_16]The Wi-Fi/BT icon disappears for about	one second after clicking the Wi-Fi icon at the bottom right corner of the	switch.(FR:1/3uuts,2/30cycles)",Sensing,Sensing,Performance,0.0926
weekly_labels_20260425_154714.csv,WiFi,"[Lenovo][Huaqin][PTL-H][BE213][S511_14_16]The Wi-Fi/BT icon disappears for about	one second after clicking the Wi-Fi icon at the bottom right corner of the	switch.(FR:1/3uuts,2/30cycles)",Sensing,Sensing,Performance,0.0926
weekly_labels_20260425_162335.csv,WiFi,"[Lenovo][Huaqin][PTL-H][BE213][S511_14_16]The Wi-Fi/BT icon disappears for about	one second after clicking the Wi-Fi icon at the bottom right corner of the	switch.(FR:1/3uuts,2/30cycles)",Sensing,Sensing,Performance,0.0926
wifi_tools_piece_04_of_07_KJ (2).csv,wifi,The 6GHz frequency band can be searched when use Intel WLAN card without any setting.,Connectivity,Connectivity,Connectivity,0.0976
wifi_tools_piece_06_of_07_Zhiqiang (2).csv,wifi,Wireless WiFi is lost on 23.160,Sensing,Connectivity,Connectivity,0.1041
wifi_tools_piece_06_of_07_Zhiqiang (2).csv,wifi,Z93 WiFi 5Ghz band 160M-BW DFS fail issue,Performance,Connectivity,Connectivity,0.1046
wifi_tools_piece_02_of_07_Frankyang (2).csv,wifi,Wake on approach functionality fails to wake the test unit from MS in HB,Sensing,Connectivity,Sensing,0.1068
wifi_tools_piece_02_of_07_Frankyang (2).csv,wifi,WiFi was disconnected as resuming from modem standby.,Connectivity,Connectivity,Power Consumption,0.1075
wifi_tools_piece_04_of_07_KJ (2).csv,wifi,The wifi will disconnect when enter to MS,Connectivity,Connectivity,P2P,0.1083
wifi_tools_piece_07_of_07_Brenton.csv,wifi,HP 3LS SIP126149 - EB 1040 G11(Ernesto MTL)/TSMC/GC/Intel AX211 Cannot find WiFi 6G issue/PCAPJ/TW,Connectivity,Connectivity,Connectivity,0.1083
wifi_tools_piece_02_of_07_Frankyang (2).csv,wifi,we can not scan the 6E AP channels while applied country code as US.,Connectivity,Connectivity,Connectivity,0.1090
wifi_tools_piece_07_of_07_Brenton.csv,wifi,SUT can search for 5.0GHz Wi-Fi with channel 165 on Indonesia image (PTL+WhP2),Sensing,Connectivity,Connectivity,0.1096
wifi_tools_piece_03_of_07_FrankLee.csv,wifi,WiFi adapter fails to perform OKC fast roam after missing Beacons detected.,Sensing,Connectivity,Connectivity,0.1103
wifi_tools_piece_04_of_07_KJ (2).csv,wifi,"Roaming failed twice, with two failed attempts to reconnect to the 5G hotspot. F/R: 1/1u, 2/50C",RF,Power Consumption,Connectivity,0.1121
bt_software_piece_05_of_07_Leo.csv,bt,BT automatically disconnects when transferring 100M data file via BT with AX211 / Killer1675i card. FR: 8/10 cycle,Killer,Killer,Connectivity,0.1133
wifi_tools_piece_03_of_07_FrankLee.csv,wifi,"WLAN sometimes do not show 2 MLO links but only 1 link with the command ""netsh wlan show i"" after MLO AP is connected (F/R: 3/10)",Connectivity,Connectivity,Connectivity,0.1133
wifi_tools_piece_01_of_07_Timdaway.csv,wifi,Auth failed when doing connect and ping stress test,Connectivity,Connectivity,Connectivity,0.1135
wifi_tools_piece_03_of_07_FrankLee.csv,wifi,multiple roamings in stationary environment,Connectivity,Connectivity,Connectivity,0.1146
wifi_tools_piece_06_of_07_Zhiqiang (2).csv,wifi,PC didnt receive packets from android several times so android device finally decided to disconnect from PC.,Connectivity,Connectivity,P2P,0.1146
wifi_tools_piece_06_of_07_Zhiqiang (2).csv,wifi,UefiCnvWlanWRDS value can be read by WRT but no function.,Connectivity,Connectivity,BIOS,0.1151
wifi_tools_piece_06_of_07_Zhiqiang (2).csv,wifi,The system is connected to a Wireless Display TV and the video playback is stuck or Screen freezes,YB/Lost,YB/Lost,P2P,0.1161
weekly_labels_20260425_151911.csv,WiFi,"[LG][HQ][14U40V][WCL]The units mobile hotspot does not have a Security type option on the Edit Network Info screen.(FR: 2/2 units, 4/4 times)",Connectivity,Connectivity,Connectivity,0.1166
weekly_labels_20260425_154714.csv,WiFi,"[LG][HQ][14U40V][WCL]The units mobile hotspot does not have a Security type option on the Edit Network Info screen.(FR: 2/2 units, 4/4 times)",Connectivity,Connectivity,Connectivity,0.1166
weekly_labels_20260425_162335.csv,WiFi,"[LG][HQ][14U40V][WCL]The units mobile hotspot does not have a Security type option on the Edit Network Info screen.(FR: 2/2 units, 4/4 times)",Connectivity,Connectivity,Connectivity,0.1166
wifi_tools_piece_01_of_07_Timdaway.csv,wifi,-System can not search WiFi 6G when set MCC to US by ANT tool + S0KKT010 BIOS + BE200 wifi Card.,Connectivity,Connectivity,Connectivity,0.1177
wifi_tools_piece_02_of_07_Frankyang (2).csv,wifi,other PC connect hotspot occur auto disconnect after PC connect 5G AP and open hotspot(setting 2.4 bandwidth),Performance,Power Consumption,P2P,0.1183
wifi_tools_piece_06_of_07_Zhiqiang (2).csv,wifi,The 6G Wi-Fi list cannot be found after changing the MCC to US through ANT tool,System Hang,System Hang,Connectivity,0.1193
wifi_tools_piece_01_of_07_Timdaway.csv,wifi,"After bootup Notebook , moving from 24F to 30F intel office , very hard to WAL",Connectivity,Connectivity,Sensing,0.1194
weekly_labels_20260425_151911.csv,WiFi,[Samsung][MTL][AX211] Can not find 6Ghz Mobile Hotspot.,Connectivity,Connectivity,Connectivity,0.1201
weekly_labels_20260425_154714.csv,WiFi,[Samsung][MTL][AX211] Can not find 6Ghz Mobile Hotspot.,Connectivity,Connectivity,Connectivity,0.1201
weekly_labels_20260425_162335.csv,WiFi,[Samsung][MTL][AX211] Can not find 6Ghz Mobile Hotspot.,Connectivity,Connectivity,Connectivity,0.1201
wifi_tools_piece_01_of_07_Timdaway.csv,wifi,Restricted mode long reconnection time after resume from sleep,RF,Power Consumption,Connectivity,0.1208
wifi_tools_piece_03_of_07_FrankLee.csv,wifi,"[Haier][Wingtech][G1][ADL-P][Ax210][21H2]With the PC connection to the WiFi for a long-time suspension test, the WLAN driver has a loss problem [3 / 3]",Connectivity,Connectivity,Connectivity,0.1209
wifi_tools_piece_01_of_07_Timdaway.csv,wifi,The system cannot scan for the 6GHz mobile Hotspot (VLP).,RF,Power Consumption,Connectivity,0.1214
wifi_tools_piece_06_of_07_Zhiqiang (2).csv,wifi,"When set router 2.4G/5G wifi authentication type: WPA-PSA and RF mode:802.11b/g/n/ax,after the machine connect it and display 802.11n instead of 802.11ax(F/R:3/3 6/6cycles)",Performance,Connectivity,Connectivity,0.1214
