ips_title,predicted_category,technology,human_category
[ASUS_CCBU][9406CAA][BE211][PTL] Can not adjust BT headset volume when using awhile.,Connectivity,BT,Connectivity
[HP] - [Laika][GLK][JFP1-9461][20H2 19042.630] ?  BT YB 10 after dash image,YB/Lost,BT,YB/Lost
"[Lenovo][Huaqin][PTL][BE213][S511_14_16]5002 event occur during warmboot test. Total BE213 SKU FR1/5UUTs,90/1500cycles,Fail unit FR:90/300cycles",Performance,WiFi,Performance
[Colorful][BYD][PTL-H][N15QA2][AX211] S4 loop test BSOD 0x9f,BSOD,WiFi,BSOD
Clevo_X560WNx_ARL-HX_AX201 WiFi connect issues,Connectivity,wifi,Connectivity
[Dynabook][Win11]Cannot get IP address after switching or roaming to other AP,Roaming,WiFi,Roaming
"[ASUS][B3604CVF][AX211] After scan Samsung TV, Miracast connect fail",Miracast,WiFi,P2P
[ASUS-Gaming][ADL-P][GU603Z][AX211 2230] Not able to WoWLAN by remote desktop,WowLAN,WiFi,WowLAN
[HP/SIO1567335][Armorhide][9560/CFL/Win10 Rs3]Can't wake up from S4 via Magic packet,WowLAN,WiFi,WowLAN
[HP] - SIO1991059 &  SIO1992792 [Corvette][TGL][HRP2-22560][20H2] ? LE BT mouse lag,Performance,BT,Performance
"[Xiaomi][MiShare][CML][9560]Create 5G(149) softAP when host has no AP connected, file transfer speed is slow.",Performance,WiFi,Performance
[Lenovo_Ideapad][Compal][Y750-15IMH][CML-H][20H1] Intel WLAN AX201 lost(or yellow bang) when download image or S4/CB,YB/Lost,WiFi,YB/Lost
[Intel/Commercial][Internal][MTL][AX211][8Y851AV] Wi-Fi Dropping,Sensing,WiFi,Connectivity
[Honor][LUX][Zhuquan&xuanwu][PTL][AX211]The wifi connect fail because Four EAPOL authentication failures,P2P,WiFi,Connectivity
[DELL][Field]Intel(R) Wi-Fi 7 BE200 is unable to connect WIFI-6E 6GHz networks in Windows 10/11 in Macao,P2P,WiFi,Connectivity
[Lenovo][wistron][GEN4_AX201][ADL]Intel AX201 WiFi Roaming Issue with Windows Cu,Roaming,WiFi,Roaming
[HP/SIO2264021/Win11/ADL/GfP2/Vision] Miracast wireless display cannot be connected successfully,Miracast,WiFi,P2P
[LG][15U70P][TGL/AX201/21H2] Miracast connection over infrastructure fails,Miracast,WiFi,P2P
"[HP/SIO1528689][Scorpius][3168/7265/KBL/W10]Error ""Premature wake up. The unit woke up xxxxxx ms before scheduled WOL time"" occured when run WinPVT 9.0E_Hibernation Functional Test",WowLAN,WiFi,WowLAN
WiFi 7 throughput abnormal,Performance,WiFi,Performance
SIP128610 - EB 1040 G1i 14(MasadaN)/Win11 24H2/Traveloka/GA/PC APJ/ Intel BE201 Mobile Hotspot not detected in 6GHz/ID,YB/Lost,WiFi,P2P
[lenovo][wistron][G3 500W][Pentium][ AX201] [2H1][100%]wlan YB and BT device lost when system in Idle  (Only G3 can recovery).,YB/Lost,WiFi,YB/Lost
[Honor][ZhuQue][PTL][AX211 1216@160M][High probability]0x9f,Performance,WiFi,BSOD
[Panasonic][PTL][WhP2] Tx power is NG when Dynamic SAR is enabled,RF,WiFi,RF
Z93 WiFi 5Ghz band 160M-BW DFS fail issue,Connectivity,wifi,Connectivity
"[Huawei][Quanta][H99E][NobelF][AX201][21H2][WLAN] [AX201][BUG-20211111-37766] Connect to a dual-mode adaptive router, stay away from the router and cannot roam to 2.4G network",Roaming,WiFi,Roaming
[Jaguar3][Gfp2] Machine cannot connect to Wireless Display (FR:10/10 trials),Miracast,WiFi,P2P
[ASUS][TGL][WLAN]How to confirm the function of WoWLAN from MS is workable with DC mode ?,WowLAN,WiFi,WowLAN
[HP][SnowWhite]The unit can not wake from MS3 via WOWLAN in AC mode.,WowLAN,WiFi,WowLAN
"[Huawei][Quanta][Euler][CML-U][AX201][WLAN][19H2]PC and Cell use hishare to transfer file, the throughput lower than 11 MBps(MCC is JP)",Performance,WiFi,Performance
[HP/SIO2013549/Win11/ADL-S/HrP2/ArtiI] YB 43 after installed v22.70.2.1 then reboot system,YB/Lost,WiFi,YB/Lost
AX201 wifi driver 802.11g throughputissue,Connectivity,wifi,Performance
[ASUS][Luxshare][A7406CMA][AX211]WiFi function lost when run S4 test(FR:8/8 units),YB/Lost,WiFi,Connectivity
-[Lenovo][Thinkpad-JP][LNL][BE201][T14SGen6] EWG issueMTS40 WIFI YB,YB/Lost,WiFi,YB/Lost
The system cannot scan for the 6GHz mobile Hotspot (VLP).,Power Consumption,wifi,Connectivity
[Dell][Bolan LNL/FmP2] Persistent Wi-Fi roaming and disconnection problems affecting Dell laptops with Intel BE200/201/202 and AX211 adapters,Roaming,WiFi,Connectivity
[Samsung][RPL][AX211] This pairing drops because the system suddenly stops sending RTP packets to the sink device while pairing with this device for Miracast.,Miracast,WiFi,Connectivity
"[HP][QTA][BNB][WCL][Cheddar] SIO2445127: The unit got ""0x9F"" BSOD during running WINPVT Wake-on-LAN Stress (S3S4S5+LAN_CHK_WOL.PVT) using LOM with IPV4/IPV6.",WowLAN,WiFi,BSOD
"[Huawei][Quanta][Euler][CML-U][AX201][WLAN][19H2]Connected with WPA3 AP, and after restart has fail rate that reconnected slowly.",Performance,WiFi,Connectivity
"[Lenovo ThinkPad China][L480/L580][Solo2Lando2_WHL_AX200] ""Device not detected: Bluetooth? during S4 longrun test and Unknown USB Device show yellow mark (code 43) in Device Manager",YB/Lost,WiFi,YB/Lost
[CLEVO][R100YU][R100YU_BE211_HEADSET_NO_MIC],Connectivity,BT,Connectivity
[xiaomi][R10] BT became yellow bang after grading RS4 from RS1,YB/Lost,BT,YB/Lost
"[Honor][LUX][NvwaC][ARL-HX][AX211][WiFi]When roaming between 2.4G and 5G, roaming occurs around a threshold of -70 dB.",P2P,WiFi,Roaming
P178G002/P179G002 update KC Wifi 7,Connectivity,wifi,Connectivity
"[Lenovo ThinkPad JP][LCFC][ Libra][AX211]]The 5GHz band wifi will auto disconnected and disappeared in LowPwrRange which Roaming Aggressiveness:Medium,Preferred Band:Perfer 5GHz band",Roaming,WiFi,Connectivity
[MSFT Quanta Z96] Unable to project to external monitor via wireless display,Miracast,WiFi,P2P
[Samsung][Prism-13 KBL][SfP] 7E BSoD appears during miracast connecting.,Miracast,WiFi,BSOD
[HP/SIO1584996][Renegade][SKL/8265/W10] Func-CE-DT-ME-QTA/Renegade/Win7-64: Can not Wake on WLAN from S3/S4 via Magic Packet.,WowLAN,WiFi,WowLAN
[ADL-N][HrP1][22.180][N7600ZM]AX101 The throughput drop at the attenuation of 92~95dB (picture is ax/ac 80MHz),Performance,WiFi,Performance
[Lenovo - Desktop] [Compal] [AIO 5 24IAP 07] [APL-H] [9560] [Win11 22H2 22621.317] [2/23] The Wlan(Intel AC-9560) show yellow bang in Device Manager during running Unigine heaven.,YB/Lost,WiFi,YB/Lost
"[Lenovo][AVC][WCL-H][BE213][Neo50Q-7] BT uninstall issue, 1/1Units, 1/1cycles",Connectivity,BT,Connectivity
"[Huaqin][Samsung][BBY][win11]Bluetooth mouse appear delay 1S after idle about 10 min.(FR: 4 out of 4 units, 12 out of 12 times)",Performance,BT,Connectivity
[Xiaomi][PTL][AX211] Connecting a PC to a mobile phone via BLE takes a long time,Connectivity,BT,Connectivity
[HUAWEI][Wingtech][EnzoH][MTL][23H2]Logitech BT BR3.0 mouse M336 lags when BT connect to DUT when downloading and playing music online at same time,Performance,BT,Performance
Modern Standby - Intel RST VMD and Wi-Fi 7 BE211 Remain Active During S0ix,P2P,WiFi,Performance
[Honor][Huaqin][FeimiGlite][MTL][Intel AX201][WiFi][25H2]PAD-to-PC traffic streaming experiences zero drop,P2P,WiFi,P2P
