ips_title,predicted_category,technology,human_category
TyP2 6GHz output power 2-5dBm drop on conductive test (3/19 and 4/16),Power Consumption,wifi,Performance
[TB1416 Gen8-IRL][Intel AX211/AX203] WiFi lag issue,P2P,WiFi,Performance
"The result show fail when running Stress-WiFi Ping (S4) test.(F/R:11/40units,13/4000cycles)",Connectivity,wifi,Connectivity
Restricted mode long reconnection time after resume from sleep,Power Consumption,wifi,Connectivity
"The result show fail when running Stress-WiFi Ping (S4) test.(F/R:11/40units,13/4000cycles)",Connectivity,wifi,Connectivity
Restricted mode long reconnection time after resume from sleep,Power Consumption,wifi,Connectivity
"[Honor][Huaqin][LvzhouD][WCL][Intel AX211][WiFi][25H2]After STA changes the channel, the P2P channel undergoes irregular changes.",P2P,WiFi,P2P
"The result show fail when running Stress-WiFi Ping (S4) test.(F/R:11/40units,13/4000cycles)",Connectivity,wifi,Connectivity
"[Ubuntu] [HP] [ ZBook X G2i] bluetooth test got errors on Intel BE211NGW  HCI: Command failed. Error code: 0x12, Payload: b\x04\x0e\x04\x01B \x12",Connectivity,BT,OEM Tools
[HP][IEC] - [Masada][LNL][Win11 25H2]SW Drips 0%,Power Consumption,BT,Power Consumption
Auth failed when doing connect and ping stress test,Connectivity,wifi,Connectivity
"The result show fail when running Stress-WiFi Ping (S4) test.(F/R:11/40units,13/4000cycles)",Connectivity,wifi,Connectivity
[Intel][Acer][SP2W][WildCatLake] How to compatible 2 SAR table in windows,UEFI,WiFi,BIOS
TyP2 6GHz output power 2-5dBm drop on conductive test (3/19 and 4/16),Power Consumption,wifi,Performance
