ips_title,predicted_category,technology,human_category
"[Lenovo Thinkbook/Consumer][Wistron][WCL][AX211][IdeaPad Slim 5 13IWC11]The AX211 network card uses Bluetooth to record audio with current and noise.(10/10 unit,50/50 cycle)",Connectivity,BT,Connectivity
"[Lenovo][Wistron][PTL-H][BE211][Curie3] BT headphone cant hear ""Lenovo Vantage"" notification sound",Connectivity,BT,Connectivity
[Dell][ICPS5.0] ICPS driver files are left in C:\Windows\System32\DriverStore\FileRepository after using installer to uninstall ICPS,ICPS,Software,ICPS/Killer
"[Lenovo][Huaqin][PTL-H][BE213][S511_14_16]The Wi-Fi/BT icon disappears for about	one second after clicking the Wi-Fi icon at the bottom right corner of the	switch.(FR:1/3uuts,2/30cycles)",Sensing,WiFi,Performance
[Dell][Luxshare][Roma][WCL][Win11] [DVT] SUT occur BSOD(0x133) during Warm Boot stress(FR:636 DPPM).(Fail rate:2 out of 14units2 out of 3143 cycles),BSOD,BT,BSOD
[Windows] Smart Connect Incorrect Network List Addressing,Killer,Software,ICPS/Killer
[Honor][Huaqin][LvzhouD][WCL][Intel AX211][WiFi][25H2]HLK USB Inter Device idle Test-Compat item fail,HLK,BT,HLK
[HP][IEC][Bobcats][MTL][Intel Wi-Fi 7 BE200] Randomly unable to connect to EAP-TLS network with 11r enabled/Wi-Fi signals keep fluctuating on the laptop resulting in slow connection and packet drops,Sensing,WiFi,Roaming
[PSIRT] [Connectivity Performance Suite] Potential Use After Free may impact availability,ICPS,Software,ICPS/Killer
LNL Ultra 7 258V with BE201 WLAN device miss,YB/Lost,WiFi,YB/Lost
[Windows] Disable feature in Smart Connect Configurations Doesnt work,Killer,Software,ICPS/Killer
"[LG][HQ][14U40V][WCL]The units mobile hotspot does not have a Security type option on the Edit Network Info screen.(FR: 2/2 units, 4/4 times)",Connectivity,WiFi,Connectivity
"[NEC][LCFC][WCL][Yukimura-WCL VP][25H2][SIT][BE211]The BT driver shows Dual BT in the Device Manager details, and the language used for the Device Manager name is different. FR: 1/1unit",Not WiFi Issue,BT,Connectivity
[Honor][LUX][NvwaC][ARL-HX][AX211][BT] The BSOD 0x133 releated to BthHFEnum,BSOD,BT,BSOD
[PSIRT] [Killer]CWE-427 on cmd.exe may impact CIA,Killer,Software,ICPS/Killer
"[Dell][Roma][PTL][25H2]Conection status show ""Connected"" after disconnect the BT headset  (F/R:100%",Connectivity,BT,Connectivity
[WIKO][Longcheer][MarseilleJ][Win11][Intel-PTL][AX211][BT]BR bluetooth mouse will be deleted automatically after upgrade to 24.40.0.3 bluetooth driver.,Performance,BT,Connectivity
[Dell-Roma PTL][WhP2] Athena BT audiooffload test,Connectivity,BT,Connectivity
"[ICPS5, NM] Network not selected as authorized, only after delay - Sometimes",Killer,Software,ICPS/Killer
[Microsoft][PTL/WHP/OOB 26581][PAS] Bluetooth crash and LE earbuds disconnect when enabling Audio Sharing (PAS) on Panther Lake,Connectivity,BT,Connectivity
[MADIGI][BV55B-ML03][MTL-H][DVT]BT headphone take about 25 seconds to output audio after connection. (FR: 9/9 cycles; 3/3 units),Connectivity,BT,Connectivity
[DELL][Compal]NVL WS incorrect display and typo in WRT BIOS Tool,BIOS,Tools,BIOS
[Samsung][MTL][AX211] Can not find 6Ghz Mobile Hotspot.,Connectivity,WiFi,Connectivity
"All available networks are displayed under ""My Networks""",Killer,Software,ICPS/Killer
[HP/Cashmere/RVP][PTL/OOB 26581/WHP] Three BT headsets BT PAS enable successful with issue symptom (3rd classic sometime show disconnected state),Connectivity,BT,Connectivity
[MADIGI][BV55B-ML03][MTL-H][DVT]Microphone of BT headphone can not be detected after connection.(FR: 9/9 cycles; 3/3 units),Connectivity,BT,Connectivity
[PSIRT] [Connectivity Performance Suite] [ICPS][CWE-426 on Get-ScheduledTask.ps1 may impact CIA,ICPS,Software,ICPS/Killer
[Honor][Huaqin][LvzhouD][WCL][Intel AX211][WiFi][25H2]Bluetooth device disconnection With a high probability,YB/Lost,BT,Connectivity
"[LG][HQ][14U40V][WCL]The units volume is no sound when turn up the volume by the Bluetooth speaker. (FR:1/2 units,3/20 cycles)",Connectivity,BT,Connectivity
ICS crashes 2 minutes after restart,ICPS,Software,ICPS/Killer
[Honor][LUX][NvwaC][ARL-HX][AX211][WiFi]Is it possible to create a 5GHz SoftAP on the 2.4GHz and DFS channels in Belarus,Not WiFi Issue,WiFi,P2P
[Samsung][ADL][AX211] PC didnt start connect after PD request/response.,Performance,WiFi,P2P
[Windows] iHS Onboarding with IOS device fails on the last step,ICPS,Software,ICPS/Killer
