ips_title,predicted_category,technology,human_category
(Copy Of 01014109) [HP][PAS] PAS no sound after we put SSG Bud2 Pro back to charging box,Connectivity,BT,Connectivity
"[HP][FXN][Messi_Uran][AX211]BSOD 0x9F with Stop code:DRIVER_POWER_STATE_FAILURE occurred during run WinPVT v11.17.0-Restart, Standby, and Hibernate Stress(\Driver\BTHUSB).",BSOD,BT,BSOD
[Acer][LongCheer][N827][PTL][DVT][Stingray_PTZ/Grouper_PTZ]The sound output device  will slower then 20s to show after  connected   by BT,Performance,BT,Connectivity
[HP][IEC] - [DominionI][NVL][Win11 25H2]Bluetooth device missing,YB/Lost,BT,YB/Lost
[Honor][LUX][NvwaB][RPL][AX211][BT]The BSOD 0x9f releated to BT when Resume from S4,BSOD,BT,BSOD
PPAG function doesnt work when countrycode is set to CB(China).,RF,wifi,Performance
AX201 roaming feature issue debug,Roaming,WiFi,Roaming
Dell][Compal]OasisMTL_SUT show couldn't connect monitor via miracast.,Miracast,WiFi,P2P
[HP/SIO1419536][Jolie][KBL/8265/WIN10] WoWLAN on S5 get failed if wait for 30 minutes to wake.,WowLAN,WiFi,WowLAN
[HP] The WoWLAN support behavior,WowLAN,WiFi,WowLAN
"[Huawei][Wingtech][CurieM][AMD Cezanne][AX200][20H2]WIFi6 2.4G test Rx, WiFi speed cannot recover after BT",Performance,WiFi,Performance
[Lenovo-IdeaPad][ADL][S970][win11][FVT][GFP]:The earphone output sound is delayed,Performance,BT,Performance
[Lenovo-IdeaPad][MTL][SV2][S580-16pro][win11][GFP] AX211 YB after resume from S4 (Connected with AP then go to S4),YB/Lost,WiFi,YB/Lost
[Lenovo ideapad][LCFC][intel][be211][yoga pro7 gen12 INL] conductive tput fail,Performance,WiFi,Performance
"[Honor][LuxsharePC][ZhuqueC][DVT][24H2 ]2.4GHz and 5GHz band switching roaming, 5G reconnect failure. F/R: 1/1u,3/50C",Roaming,WiFi,Connectivity
[lenovo][lcfc][X13 Gen5][MTL][AX211/BE200][22H2][67%]Not connect to 5G when roaming,Roaming,WiFi,Connectivity
"[Lenovo_ThinkPad][LCFC][RPL_R][KunLun1.0 RPL-R][24H2][SIT] The external monitor disconnected after play back online video overnight after connect monitor via WIDI adapter.(FR:2/2units, 2/2trails)",Miracast,WiFi,Audio
[Lenovo][Foxconn][ThinkStation Cathaya P5 Gen2][Granite Rapids][BE200][Win11] WOL tool can not wake up UUT from S3 via BE200 WIFI card with Hybrid sleep disabe,WowLAN,WiFi,WowLAN
[Lenovo AIO][RF][Tianjiao AIO-16ITL K12 (GOA30)][ITL i5-1155G7][Intel AX201NGW #MM:999TD0][Windows 11 21H2][100%] The time delay more than 50ms,Performance,WiFi,Performance
[HUAWEI][HUAQIN][MACHD][Intel TGL][Intel AX201[20H2]TV image occur lag during PC projecting  XiaoMi TV and play local video,Performance,WiFi,P2P
[ThinkPad JP Lenovo_Lark][WW46][RUSB][Lark_Lakefield][CcP 21.110.1.1 (WLAN) ]WLAN driver show YB in Device Manager after recovery from image Lark R01 Win10P64EN-UK,YB/Lost,WiFi,YB/Lost
[HP][FXN][NVL-S][Taris/Triton&Sylpha][UEFI WiFi driver]UEFI WiFi driver usage for Whale Peak 2 BE211 vPro / non vPro and Lizard Peak 2 AX221.,UEFI,WiFi,UEFI
"[Huawei][Foxconn][PanguB][AX201][19041.208]DUT is connected to the display screen wirelessly through miracast device( honor TV box pro), it took more than 6seconds form the start of connecting miracast device to the successful connection and display",Miracast,WiFi,P2P
[TyphoonPeak2][AX210] Low throughput in 2GHz 11ax HT40 Rx and Tx when channel is set to 6,Performance,WiFi,Performance
"[Xiaomi][WT][A8][AML][AX200][19H2] ""Connect to a wireless display"" option lost after boot to desktop.(FR:1/20 Cycles)",Miracast,WiFi,P2P
[Dynabook][Win10] target PC cannot be woken up from Hibernation/sleep by a magic packet,WowLAN,WiFi,WowLAN
[LG][15U590][WHL/9560/Win10 RS4] WiFi Yellow Bang occurs,YB/Lost,WiFi,YB/Lost
"[Lenovo-IdeaPad][Inhouse][KBL-R][Yoga930] Put system enter to Modern standby, roams AP, let system out of Moden standby, 9260 can not connect AP",Roaming,WiFi,Power Consumption
TAS enable some question for AX411 - DCR-1833 should fix,RF,wifi,YB/Lost
[Samsung][MTL][AX211][P260601-06998] PC didnt start connect after PD request/response.,P2P,WiFi,P2P
[HUAWEI][HUAQIN][Morgan][NB3757][TGL][AX201][WIFI]The network quality signal is poor when Roam the other AP.,Roaming,WiFi,Roaming
[Samsung][RPL][AX211]Miracast connection with samsung TV fails sometimes.,Miracast,WiFi,P2P
[Lenovo ThankPad][DJ2.0 E490] 19H2: Video on the machine and on the external monitor using Miracast is lagging on extended and duplicate mode only.,Miracast,WiFi,P2P
[Lenovo][Foxconn][ThinkStation Cathaya P5 Gen2][Granite Rapids][BE200][Win11]There is new Microsoft Windows 11 algorithm driver design limitation with power management Hibernate WoWLAN.  Suggest to close this issue.,WowLAN,WiFi,WowLAN
[HUAWEI][Wingtech][DiracR][ADL-P][AX201[WiFi][22H2]unit has slow WIFI scanning when Bluetooth switch enable (Fail rate:  20/100 c),Performance,WiFi,Performance
"[Lenovo][S790-14Pro][MTL-H][Win11]Intel WLAN &BT show YB in DM,error code 43 during coldboot stress test.FR:1/14UUTs.1/4200cycles.",YB/Lost,WiFi,YB/Lost
"[LG][WCL][NB8598A][AX211]Bluetooth A2DP Offload Test Failure - ""State Not Recoverable"" Error - Seeking Guidance from Intel",Connectivity,BT,Connectivity
[Honor][Huaqin][LvzhouD][WCL][Intel AX211][BT][25H2]The coldboot stress test resulted in a 0x9f BSOD.,BSOD,BT,BSOD
[Asus][X571][CFL-H R][AX200] WLAN& BT co-existence test found audio lag with airpod headset,Performance,BT,Performance
[ASUS][ARL][UX3405CA] Questions Regarding TA #873917 Integration and BIOS Version Alignment,BIOS,BT,BIOS
[Lenovo-Ideapad][Y9 ][ARL/BE200][25H2] BT headphone connect no mic,Connectivity,BT,Connectivity
[Dynabook]The volume value of BT headphone cannot be kept after disconnect and connect BT LE audio headphone,Connectivity,BT,WowLAN
[SamSung][GfP2][Mar 2 13 ADL] YB( Yellow Bang) Bluetooth issue PV1 stage,YB/Lost,BT,YB/Lost
[Dell_Compal][Redstone][ARL][GaP2][WHLK]Bluetooth - 4.0 Specification (2-Machine) fail,HLK,BT,HLK
[HP][IEC] - SIO2479469[Merino][PTL][Win11 25H2]The 835M mouse will lost function (about 15 seconds) after resume the host S4/S5 by BT mode.[Morty_D1YZ8AA],Connectivity,BT,Connectivity
A2DP Offload feature is enabled in JfP on TGL and HrP on ADL when feature is not supported.,Connectivity,bt,Connectivity
[UNIS] [Compal][UNIS_Slinky][Tiger Lake][AX201][20H2] BT show yellow bang after discharge to enter critical level and resume from S4,YB/Lost,BT,YB/Lost
