ips_title,predicted_category,technology,human_category
"[Lenovo][Aladdin][LNL][Win11]Stress WifiPing Test tool show fail (wifi ping fail,100% loss rate) when run stress WIFI_WB",Connectivity,WiFi,Connectivity
[Dell_Compal][BR12][LNL][FmP2]Add at least 8 BT devices cause Wi-Fi search not stable,Connectivity,WiFi,Connectivity
[DELL]Latitude 7450 + BE200/Latitude 5530  adapter intermittent disconnection issue,Connectivity,WiFi,Connectivity
"[HP][FXN][Messi_Astro][BE211]""We cant find an audio playback device. make sure..."" message pop-up after restart OS and set a BT Speaker/Headphones as default audio device then set another a BT Speaker/Headphones as default device again",Connectivity,BT,Connectivity
[HP][PAS]Unable to start PAS when place the left earbud back in the case,Connectivity,BT,Connectivity
[Wistron][Dell CY27 Tirich] PCM for BT Offload on PCIe card cause CNVi fail,Connectivity,BT,Connectivity
[Xiaomi][PTL][AX211] RSSI of  PC scanning the TVs BLE broadcast packet is low,Connectivity,BT,Connectivity
[Lenovo][Poseidon][PTL][Win11]Teams call lag during meeting,Performance,WiFi,Connectivity
"[ASUS_CC][D900MF][AX211][ARL-S]Connect AirPods 4 via BT, The recording stutters",Connectivity,BT,Connectivity
[Mechrevol][Alstone][RPL-U][WLAN shows a YB after coldboot/surf the Internet],YB/Lost,WiFi,YB/Lost
[Lenovo DT][LCFC][T7120][NVL] Install Intel BE211 Wifi driver show yellow bang.,YB/Lost,WiFi,YB/Lost
[Xiaomi][PTL][AX211] PC Connect TV by ble failed,Connectivity,BT,Connectivity
[Lenovo_LNL_Abby2]The system hangs up every time when system connect to Wifi.  [DFT0293798],System Hang,WiFi,System Hang
"Open Verifier select ""intcoed.sys"" and than instal BT 24.40.0.3 occur BSOD:failed IntcOED.sys",BSOD,BT,BSOD
[Honor][LUX][Zhuque][PTL][AX211][WiFi]Is it possible to create a 5GHz SoftAP,P2P,WiFi,P2P
"[Lenovo][Aladdin][LNL][Win11]Unit show BSOD (bug check: 0x133 w dump) when update Intel Bluetooth Driver(F/R:1/20unit,1/20 cycles)",BSOD,BT,BSOD
WLAN HLK Tests Fail on HLK v10.0.26100.7705,HLK,WiFi,HLK
PPAG function doesnt work when countrycode is set to CB(China).,RF,wifi,BIOS
TAS enable some question for AX411 - DCR-1833 should fix,RF,wifi,BIOS
A2DP Offload feature is enabled in JfP on TGL and HrP on ADL when feature is not supported.,Connectivity,bt,Connectivity
"The manual reboot of the DC is significantly slower, taking approximately 30 to 40 seconds longer than other machines",Performance,bt,Performance
WiFi profile not showing expected 11ax in Protocol after changing wireless modes in properties,System Hang,wifi,Connectivity
T14S Laptop (AX211) keeps switching between different Wi-Fi access points (APs) unnecessarily,RF,wifi,Roaming
WiFi adapter fails to perform OKC fast roam after missing Beacons detected.,Connectivity,wifi,Connectivity
"Blackscreen during MS stress test and Dump point to ""WifiCx.sys"" (F/R: 2/2u; 2/10 c)",Connectivity,wifi,System Hang
"PC connected 2.4G/5G AP(802.11AX/AC,20M/40M) do UDP downstream can not meet spec.(F/R:1/1U,6/6C))",Connectivity,wifi,Performance
The 6G Wi-Fi list cannot be found after changing the MCC to US through ANT tool,System Hang,wifi,Connectivity
[Lenovo-IdeaPad][wistron][Field_issue][Enterprise-Network][Jasper Lake][AX201][500W GEN4]WiFi show no internet after Roaming in the school.,Roaming,WiFi,Roaming
[HP/SIO1577354][Catan][GLK/7265/W10] [t430][18WWDTAJ6aq][Win10]Intel 9260 driver will show yellow mark after change roaming aggressiveness in device manager,Roaming,WiFi,YB/Lost
TSMC Roaming issue,Roaming,WiFi,Roaming
[Lenovo-ThinkPad][Wistron][L13 Gen2][TGL-U][AX201&9560][20H1][100%] SUT WiFi Ping and XCopy is not stable during Wifi Roaming Test,Roaming,WiFi,Roaming
Wireless LAN kept roaming to incorrectly Access Point,Roaming,WiFi,Roaming
[ASUS in house][CML][UX434FAC][AX201]Roaming test fail,Roaming,WiFi,Roaming
<Customer issue>[Lenovo ThinkPad China][LCFC][AX200]][L15]It could not automatically connect AP unless user reconnected manually during roaming environment,Roaming,WiFi,Connectivity
[lenovo/DT BU][In-house][ARL-PCB2][AX211][ M970ts]Wireless DIsplay??????  ?,Miracast,WiFi,P2P
"[Samsung][P230711-05053] When running Chrome and playing YouTube on an extended monitor connected via Miracast to a Galaxy S8+, the Miracast connection is disconnected.",Miracast,WiFi,P2P
[Huawei][Quanta][Euler][CML-U][AX201][19H2]Miracast to play 4k video occurs 3~5 seconds blurred screen.,Miracast,WiFi,P2P
[Samsung-Epic-15-KBLR-WsP-Windows10 RS3] 50 BSoD appears during miracast pairing.,Miracast,WiFi,BSOD
[HP/SIO2100096/Win11/ADL/GfP2/Riesling] The video of external monitor connected via Miracast will lag while playing local video,Miracast,WiFi,P2P
[HUAWEI][HUAQIN][KelvinM][[AMD Lucienne-U]][Intel AX200][20H2] System does not sync screen via miracast from PC to PAD.,Miracast,WiFi,P2P
[Huawei][Quanta][H81][CezanneM][AX200][20H2][WiFi][BUG-20210223-18647]DUT projecting to HUAWEI smart TV(V65i)/HONOR TV through miracast appeared afterimage.,Miracast,WiFi,P2P
[Samsung][Largo-15R][KBL-WsP1216] Video distortion appears during using miracast receiver app('Connect') after sender system connect to some AP.,Miracast,WiFi,P2P
[Longcheer][MECHREVO][AX210][DVT1][24H2]Canot Miracast to project the screen to this device wirelessly,Miracast,Ethernet/Wired LAN,P2P
[Dell][Modena_TGL][Centenario_TGL] Miracast disconnected during system idle,Miracast,WiFi,P2P
[HP/ME issue][W10/CFL/9560] AMT_027 & 056: WoWLAN fails when it?s enabled in Device Manager.,WowLAN,WiFi,WowLAN
[ASUS][PA90][CFL][AX200] AX200 can't wake up from S5 by using magic packet,WowLAN,WiFi,WowLAN
[Dell/Compal] Cannot WoWLAN via WOL tool,WowLAN,WiFi,WowLAN
[ASUS_CCBU][Intel] WOWLAN disable,WowLAN,WiFi,WowLAN
Expected behavior of WoWLAN / WoL using Magic Packets when Modern Standby is enabled,WowLAN,WiFi,WowLAN
Please check if receiving magic packet in WRT logs according to each time stamp,WowLAN,WiFi,WowLAN
[ASUS][Strix 2022]System can not wake on WLAN from modern standby by Magic Packet,WowLAN,WiFi,WowLAN
[Samsung][Odyssey2][CFL][JfP2] System under S4 doesn't wake up by magic packet.,WowLAN,WiFi,WowLAN
[LG][15Z90RT ][RPL/AX211/Win11 22H2] WLAN Throughput Issue,Performance,WiFi,Performance
[Lenovo-Ideapad][Wistron][Lenovo 500w Gen3 JSL][JSL][IntelAX201] WiFi throughput test fail on Win11 OS preload,Performance,WiFi,Performance
[Honor][huaqin][HiggsF][ADL][AX211][21H1[100%]]Sta throughput is lower  while coexistence with P2P.,Performance,WiFi,P2P
"[Huawei][Quanta][Euler][CML-U][AX201][WLAN][19H2]Play the same video, the PC are always lage than cell phone in miracase..",Performance,WiFi,Performance
[Lenovo-Thinkpad][Wistron][Fenrir Intel][ADL][IntelAX211] WiFi6E WiFi throughput test fail,Performance,WiFi,Performance
[HUAWEI][HUAQIN][MorganF][Intel ADL][Intel AX 211][BT][Win11]The  BT headset sounds occurred lag during playing local music.,Performance,BT,Performance
