ips_case_number,customer,ips_customer_name,ips_oem,ips_owner_name,ips_title,ips_created_date,jira_id
658305,"HUAQIN TECHNOLOGY CO., LTD",NA,"Huaqin Technology Co., Ltd",Zhiwei He,[HUAWEI][HUAQIN][Morgan][Intel TGL][Intel AX201][W11][WIFI] Have no access to the internet about 30s~1min when resume from modernstandby.,2021-11-04 04:24:00,NA
658305,"HUAQIN TECHNOLOGY CO., LTD",NA,"Huaqin Technology Co., Ltd",Zhiwei He,[HUAWEI][HUAQIN][Morgan][Intel TGL][Intel AX201][W11][WIFI] Have no access to the internet about 30s~1min when resume from modernstandby.,2021-11-04 04:24:00,NA
658305,"HUAQIN TECHNOLOGY CO., LTD",NA,"Huaqin Technology Co., Ltd",Zhiwei He,[HUAWEI][HUAQIN][Morgan][Intel TGL][Intel AX201][W11][WIFI] Have no access to the internet about 30s~1min when resume from modernstandby.,2021-11-04 04:24:00,NA
658145,"COMPAL ELECTRONICS, INC.",NA,"COMPAL ELECTRONICS, INC.",Franky Yang,[Dell][Compal][Odyssey] PIMS-100810- [ODS14_DVT1]SupportSOS can't detect network adapter,2021-11-03 23:51:00,NA
658145,"COMPAL ELECTRONICS, INC.",NA,"COMPAL ELECTRONICS, INC.",Franky Yang,[Dell][Compal][Odyssey] PIMS-100810- [ODS14_DVT1]SupportSOS can't detect network adapter,2021-11-03 23:51:00,NA
658145,"COMPAL ELECTRONICS, INC.",NA,"COMPAL ELECTRONICS, INC.",Franky Yang,[Dell][Compal][Odyssey] PIMS-100810- [ODS14_DVT1]SupportSOS can't detect network adapter,2021-11-03 23:51:00,NA
658071,"COMPAL ELECTRONICS, INC.","COMPAL ELECTRONICS, INC.","COMPAL ELECTRONICS, INC.",Charles P Chu,[Dell_Montreux MLK_ADL-P] QS Modren Standby hang black screen,2021-11-03 22:23:00,NA
657801,QUANTA COMPUTER INC.,NA,QUANTA COMPUTER INC.,Leo Chiang,"[Huawei][Quanta][H99E][NobelF][AX201][21H2][BT] Connect to Bluetooth device, The DUT enter hibernation , resume from Hibernation , during login screen , system auto shutdown or meet BSOD",2021-11-03 01:29:00,NA
657801,QUANTA COMPUTER INC.,NA,QUANTA COMPUTER INC.,Leo Chiang,"[Huawei][Quanta][H99E][NobelF][AX201][21H2][BT] Connect to Bluetooth device, The DUT enter hibernation , resume from Hibernation , during login screen , system auto shutdown or meet BSOD",2021-11-03 01:29:00,NA
657801,QUANTA COMPUTER INC.,NA,QUANTA COMPUTER INC.,Leo Chiang,"[Huawei][Quanta][H99E][NobelF][AX201][21H2][BT] Connect to Bluetooth device, The DUT enter hibernation , resume from Hibernation , during login screen , system auto shutdown or meet BSOD",2021-11-03 01:29:00,NA
657635,QUANTA COMPUTER INC.,NA,QUANTA COMPUTER INC.,Charles P Chu,[Huawei][Quanta][H98VH99V][BohrENobelE_Intel][AX201][21H2][WIFI][BUG-20211102-37459] Moderm standby high power consumption due to Intel(R) Wi-Fi 6 AX201 160MHz  from sleepstudy report,2021-11-02 17:18:00,NA
