source_file,technology,ips_title,predicted_category_model,predicted_category_existing,human_category,confidence
wifi_tools_piece_07_of_07_Brenton.csv,wifi,HP 3LS SIP126149 - EB 1040 G11(Ernesto MTL)/TSMC/GC/Intel AX211 Cannot find WiFi 6G issue/PCAPJ/TW,Connectivity,Connectivity,Connectivity,0.1083
wifi_tools_piece_07_of_07_Brenton.csv,wifi,SUT can search for 5.0GHz Wi-Fi with channel 165 on Indonesia image (PTL+WhP2),Sensing,Connectivity,Connectivity,0.1096
wifi_tools_piece_03_of_07_FrankLee.csv,wifi,WiFi adapter fails to perform OKC fast roam after missing Beacons detected.,Sensing,Connectivity,Connectivity,0.1103
wifi_tools_piece_03_of_07_FrankLee.csv,wifi,"WLAN sometimes do not show 2 MLO links but only 1 link with the command ""netsh wlan show i"" after MLO AP is connected (F/R: 3/10)",Connectivity,Connectivity,Connectivity,0.1133
wifi_tools_piece_01_of_07_Timdaway.csv,wifi,Auth failed when doing connect and ping stress test,Connectivity,Connectivity,Connectivity,0.1135
wifi_tools_piece_07_of_07_Brenton.csv,wifi,Sonya12 WIFI layout check,Connectivity,Connectivity,Layout,0.1137
wifi_tools_piece_03_of_07_FrankLee.csv,wifi,multiple roamings in stationary environment,Connectivity,Connectivity,Connectivity,0.1146
wifi_tools_piece_01_of_07_Timdaway.csv,wifi,-System can not search WiFi 6G when set MCC to US by ANT tool + S0KKT010 BIOS + BE200 wifi Card.,Connectivity,Connectivity,Connectivity,0.1177
wifi_tools_piece_01_of_07_Timdaway.csv,wifi,"After bootup Notebook , moving from 24F to 30F intel office , very hard to WAL",Connectivity,Connectivity,Sensing,0.1194
wifi_tools_piece_01_of_07_Timdaway.csv,wifi,Restricted mode long reconnection time after resume from sleep,RF,Power Consumption,Connectivity,0.1208
wifi_tools_piece_03_of_07_FrankLee.csv,wifi,"[Haier][Wingtech][G1][ADL-P][Ax210][21H2]With the PC connection to the WiFi for a long-time suspension test, the WLAN driver has a loss problem [3 / 3]",Connectivity,Connectivity,Connectivity,0.1209
wifi_tools_piece_01_of_07_Timdaway.csv,wifi,The system cannot scan for the 6GHz mobile Hotspot (VLP).,RF,Power Consumption,Connectivity,0.1214
bt_software_piece_04_of_07_Wesley.csv,bt,Intel AX211 WLAN became hidden (code 45) in device manager after resume from sleep,YB/Lost,Power Consumption,YB/Lost,0.1233
wifi_tools_piece_07_of_07_Brenton.csv,wifi,BT MCC jump to 3030 due to Wi-Fi,Sensing,Connectivity,YB/Lost,0.1259
wifi_tools_piece_07_of_07_Brenton.csv,wifi,T-put(STA <-->AP) become low if enable hotspot when connected with AP 160M BW,Performance,Power Consumption,Performance,0.1260
bt_software_piece_04_of_07_Wesley.csv,bt,The Bluetooth related device lost when using the MIKE II tool to run hibernate resume (manual resume) Fail Rate: 1unit 2/2 trials.,Connectivity,Connectivity,YB/Lost,0.1268
wifi_tools_piece_01_of_07_Timdaway.csv,wifi,"Miracast connection fails on the INTEL module, but passes on the MTK module",Connectivity,Connectivity,Connectivity,0.1296
wifi_tools_piece_01_of_07_Timdaway.csv,wifi,Clevo_X560WNx_ARL-HX_AX201 WiFi connect issues,Connectivity,Connectivity,Connectivity,0.1302
wifi_tools_piece_07_of_07_Brenton.csv,wifi,Canot Miracast to project the screen to this device wirelessly,Connectivity,Connectivity,Connectivity,0.1316
wifi_tools_piece_01_of_07_Timdaway.csv,wifi,System does not sync screen via miracast from PC to PAD.,Connectivity,Connectivity,Connectivity,0.1329
bt_software_piece_02_of_07_Juan.csv,bt,"When using the iper3 tool to run RX and TX while connecting to a 2.4G WiFi and Bluetooth device, the Bluetooth speaker experiences stuttering issues.",Connectivity,Connectivity,Performance,0.1349
bt_software_piece_04_of_07_Wesley.csv,bt,"When using the iper3 tool to run RX and TX while connecting to a 2.4G WiFi and Bluetooth device, the Bluetooth speaker experiences stuttering issues.",Connectivity,Connectivity,Connectivity,0.1349
bt_software_piece_04_of_07_Wesley.csv,bt,A2DP Offload feature is enabled in JfP on TGL and HrP on ADL when feature is not supported.,Connectivity,Connectivity,Connectivity,0.1358
bt_software_piece_04_of_07_Wesley.csv,bt,"call active, R power off, L no sound for 5~10 sec",Connectivity,Power Consumption,Connectivity,0.1360
bt_software_piece_04_of_07_Wesley.csv,bt,Unable to run testharness tool on HostPC,Connectivity,Connectivity,OEM Tools,0.1378
bt_software_piece_06_of_07_Matt.csv,bt,Bluetooth driver missing,Connectivity,Connectivity,YB/Lost,0.1401
wifi_tools_piece_03_of_07_FrankLee.csv,wifi,P2P pairing - GO finding failure.,Connectivity,Connectivity,Connectivity,0.1401
wifi_tools_piece_03_of_07_FrankLee.csv,wifi,Driver cannot read DSM function by ACPI source,UEFI,UEFI,BIOS,0.1448
bt_software_piece_06_of_07_Matt.csv,bt,Strange name of msi package appears when removing BT driver,Connectivity,Connectivity,Connectivity,0.1489
wifi_tools_piece_07_of_07_Brenton.csv,wifi,System cant found 6Ghz mobile hotspot.,RF,Power Consumption,Connectivity,0.1491
wifi_tools_piece_01_of_07_Timdaway.csv,wifi,AX201 wifi driver 802.11g throughputissue,Performance,Connectivity,Performance,0.1513
bt_software_piece_03_of_07_Steven.csv,bt,"The Bluetooth device will be auto change to ""Paired"". (Huawei Freelace)",System Hang,System Hang,Connectivity,0.1525
bt_software_piece_06_of_07_Matt.csv,bt,DUT OPP received picture will show abnormal if transferring files with BT headset music playing,Connectivity,Connectivity,Connectivity,0.1550
bt_software_piece_06_of_07_Matt.csv,bt,The sound has caton murmur when DUT play music with a bluetooth speaker,Connectivity,Connectivity,Performance,0.1552
