true\pred,Audio,BIOS,BSOD,Connectivity,HLK,ICPS/Killer,Need-Triage,OEM Tools,P2P,Performance,Power Consumption,RF,Roaming,Sensing,System Hang,UEFI,WowLAN,YB/Lost
Audio,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIOS,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BSOD,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Connectivity,0,0,0,63,0,0,1,1,0,0,0,0,2,0,0,0,0,3
HLK,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
ICPS/Killer,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0
Need-Triage,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
OEM Tools,0,1,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0
P2P,0,0,0,0,0,0,0,0,19,1,0,0,0,1,1,0,0,0
Performance,0,0,0,1,0,0,0,0,0,22,3,1,0,0,0,0,0,0
Power Consumption,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0
RF,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Roaming,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
Sensing,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
System Hang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
UEFI,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0
WowLAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
YB/Lost,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,28
