source_file,technology,ips_title,predicted_category_model,predicted_category_existing,human_category,confidence
wifi_tools_piece_07_of_07_Brenton.csv,wifi,PPAG function doesnt work when countrycode is set to CB(China).,UEFI,RF,BIOS,0.1198
wifi_tools_piece_02_of_07_Frankyang (2).csv,wifi,TAS enable some question for AX411 - DCR-1833 should fix,UEFI,RF,UEFI,0.1359
bt_software_piece_04_of_07_Wesley.csv,bt,A2DP Offload feature is enabled in JfP on TGL and HrP on ADL when feature is not supported.,Connectivity,Connectivity,Connectivity,0.1365
bt_software_piece_02_of_07_Juan.csv,bt,"The manual reboot of the DC is significantly slower, taking approximately 30 to 40 seconds longer than other machines",Performance,Performance,Performance,0.1404
wifi_tools_piece_02_of_07_Frankyang (2).csv,wifi,WiFi profile not showing expected 11ax in Protocol after changing wireless modes in properties,Connectivity,System Hang,Connectivity,0.1446
wifi_tools_piece_02_of_07_Frankyang (2).csv,wifi,T14S Laptop (AX211) keeps switching between different Wi-Fi access points (APs) unnecessarily,Roaming,RF,Connectivity,0.1460
wifi_tools_piece_03_of_07_FrankLee.csv,wifi,WiFi adapter fails to perform OKC fast roam after missing Beacons detected.,Connectivity,Connectivity,Connectivity,0.1508
wifi_tools_piece_07_of_07_Brenton.csv,wifi,"Blackscreen during MS stress test and Dump point to ""WifiCx.sys"" (F/R: 2/2u; 2/10 c)",Connectivity,Connectivity,System Hang,0.1528
wifi_tools_piece_07_of_07_Brenton.csv,wifi,"PC connected 2.4G/5G AP(802.11AX/AC,20M/40M) do UDP downstream can not meet spec.(F/R:1/1U,6/6C))",Connectivity,Connectivity,Performance,0.1537
wifi_tools_piece_06_of_07_Zhiqiang (2).csv,wifi,The 6G Wi-Fi list cannot be found after changing the MCC to US through ANT tool,Connectivity,System Hang,Connectivity,0.1553
weekly_labels_20260501_170001.csv,BT,"[HP][Quanta]-[Trekker][LNL/ARL/RPL/PTL][Win11 25H2] ""Declarative Driver Check"" show fail after running Declarative Driver Check test with MSFTAuditHub_PS_1.00_A3",Connectivity,Connectivity,HLK,0.1561
weekly_labels_20260501_170001.csv,WiFi,[DELL][field][AX211][BE200] Intermittent Wi-Fi disconnects with 802.11r enabled on Intel AX211/BE200 in WPA-EAP enterprise environments,Connectivity,Performance,Connectivity,0.1577
wifi_tools_piece_03_of_07_FrankLee.csv,wifi,Cannot wake from S3 by EMA server.,WowLAN,Connectivity,WowLAN,0.1587
wifi_tools_piece_06_of_07_Zhiqiang (2).csv,wifi,"when an AP is connected, DUT wakes up intermittently without human detection",Connectivity,Connectivity,Connectivity,0.1639
bt_software_piece_05_of_07_Leo.csv,bt,Device Information Service - MDUT FW version doesnt match.,Connectivity,Connectivity,ICPS,0.1647
weekly_labels_20260529_170002.csv,WiFi,"[Honor][LUX][NvwaC][ARL-HX][AX211][WiFi]When roaming between 2.4G and 5G, roaming occurs around a threshold of -70 dB.",P2P,P2P,Connectivity,0.1657
weekly_labels_20260530_145717.csv,WiFi,"[Honor][LUX][NvwaC][ARL-HX][AX211][WiFi]When roaming between 2.4G and 5G, roaming occurs around a threshold of -70 dB.",P2P,P2P,Connectivity,0.1657
weekly_labels_20260508_230403.csv,WiFi,"[Lenovo][Kailash][PTL/BE211@1216/320Mhz][25H2]Assert 0x505 occurred when running MS-Resume Test on one specific unit. (F/R: 1/50 units, for this specific unit, fail rate is 100%)",Connectivity,Connectivity,YB/Lost,0.1689
wifi_tools_piece_06_of_07_Zhiqiang (2).csv,wifi,"When set router 2.4G/5G wifi authentication type: WPA-PSA and RF mode:802.11b/g/n/ax,after the machine connect it and display 802.11n instead of 802.11ax(F/R:3/3 6/6cycles)",Performance,Connectivity,Connectivity,0.1689
wifi_tools_piece_07_of_07_Brenton.csv,wifi,Canot Miracast to project the screen to this device wirelessly,P2P,Connectivity,Connectivity,0.1697
wifi_tools_piece_07_of_07_Brenton.csv,wifi,T-put(STA <-->AP) become low if enable hotspot when connected with AP 160M BW,Performance,Power Consumption,Performance,0.1713
wifi_tools_piece_06_of_07_Zhiqiang (2).csv,wifi,Wireless WiFi is lost on 23.160,YB/Lost,Connectivity,Connectivity,0.1721
weekly_labels_20260529_170002.csv,WiFi,[Lenovo][wistron][GEN4_AX201][ADL]Intel AX201 WiFi Roaming Issue with Windows Cu,Roaming,Roaming,Connectivity,0.1739
weekly_labels_20260530_145717.csv,WiFi,[Lenovo][wistron][GEN4_AX201][ADL]Intel AX201 WiFi Roaming Issue with Windows Cu,Roaming,Roaming,Connectivity,0.1739
weekly_labels_20260501_170001.csv,wifi,System cant found 6Ghz mobile hotspot.,Connectivity,Power Consumption,Connectivity,0.1776
wifi_tools_piece_07_of_07_Brenton.csv,wifi,System cant found 6Ghz mobile hotspot.,Connectivity,Power Consumption,Connectivity,0.1776
weekly_labels_20260501_170001.csv,WiFi,3LS - SIP129540 - EB 640 G11(Rex 14) & 630G11/ W11 22H2 / GC / SF / Intel wireless AX211 suffering from heavy packet loss intermittently/PC APJ/,Connectivity,P2P,Connectivity,0.1787
bt_software_piece_01_of_07_Bingyue (2).csv,bt,System Volume bar OSD not changed when pressing hotkey to adjust volume during Teams video call with BT headset,System Hang,System Hang,Connectivity,0.1820
wifi_tools_piece_01_of_07_Timdaway.csv,wifi,-System can not search WiFi 6G when set MCC to US by ANT tool + S0KKT010 BIOS + BE200 wifi Card.,Connectivity,Connectivity,Connectivity,0.1836
wifi_tools_piece_06_of_07_Zhiqiang (2).csv,wifi,The 2.4G network auto disconnect after connect USB wireless keyboard and mouse under about -70dBm RSSl.,YB/Lost,YB/Lost,Connectivity,0.1847
bt_software_piece_01_of_07_Bingyue (2).csv,bt,System exception on BT fw,Connectivity,Connectivity,YB/Lost,0.1856
weekly_labels_20260508_230403.csv,WiFi,HP Printing - Error when printing large format jobs causes brief disconnection - Intel Wi-Fi 6E AX211 and AX201 160Mhz,Connectivity,Sensing,Connectivity,0.1859
wifi_tools_piece_03_of_07_FrankLee.csv,wifi,Conducted TX spectrum Mask fail IEEE specification,Performance,RF,RF,0.1887
weekly_labels_20260508_230403.csv,BT,[HP] [Masada][LNL][FmP2-BE201][Win11 25H2 v26100.8246]Device keep going away for ~1min and comes back in NearSense UI view,Connectivity,Connectivity,Connectivity,0.1898
bt_software_piece_06_of_07_Matt.csv,bt,Please help to check the log of ibtWikoCfaFeatureExt driver.,Connectivity,Connectivity,Connectivity,0.1903
wifi_tools_piece_01_of_07_Timdaway.csv,wifi,"Miracast connection fails on the INTEL module, but passes on the MTK module",Connectivity,Connectivity,Connectivity,0.1927
bt_software_piece_07_of_07_Yuwei (2).csv,bt,"Stress_Wifi_S4, System event log show red color with Event ID 17(The local Bluetooth adapter has failed in an undetermined manner and will not be used). (F/R:2/25u,2/2500c)",YB/Lost,Connectivity,YB/Lost,0.1955
bt_software_piece_03_of_07_Steven.csv,bt,"The Bluetooth device will be auto change to ""Paired"". (Huawei Freelace)",System Hang,System Hang,Connectivity,0.1957
weekly_labels_20260529_170002.csv,WiFi,"[Lenovo ThinkPad JP][LCFC][ Libra][AX211]]The 5GHz band wifi will auto disconnected and disappeared in LowPwrRange which Roaming Aggressiveness:Medium,Preferred Band:Perfer 5GHz band",Connectivity,Roaming,Connectivity,0.1958
weekly_labels_20260530_145717.csv,WiFi,"[Lenovo ThinkPad JP][LCFC][ Libra][AX211]]The 5GHz band wifi will auto disconnected and disappeared in LowPwrRange which Roaming Aggressiveness:Medium,Preferred Band:Perfer 5GHz band",Connectivity,Roaming,Connectivity,0.1958
bt_software_piece_07_of_07_Yuwei (2).csv,bt,TX timeout during ROM flow,Connectivity,Connectivity,Connectivity,0.1962
weekly_labels_20260508_230403.csv,WiFi,[lenovo_ptl_mario]Field issue - WiFi connection issues (Romania),Connectivity,Performance,Connectivity,0.1977
weekly_labels_20260529_170002.csv,WiFi,[Intel/Commercial][Internal][MTL][AX211][8Y851AV] Wi-Fi Dropping,Connectivity,Sensing,Connectivity,0.1985
