issue_year,jira_id,jira_is_sw_change,ips_title,technology,platform,jira_platform,ips_platform,ips_created_date,ips_closed_date,ips_priority,deduced_issue_category,category_confidence,jira_exposure
2026,,false,"[Lenovo][Poseidon][SIT][PTL/BE211][25H2] The unit show BSOD(bugcheck:0x44,with dump) after restart unit.(F/R:1/2units;2/208cycles)",BT,Panther Lake,,Panther Lake,2026-01-01 09:10:05,2026-01-06 06:39:42,High,BSOD,0.3034,2-High
2026,,false,[Lenovo][Kailash][PTL/BE211@1216/320Mhz][25H2]bluetooth headset can not adjust volume with a2dp offload off,BT,Panther Lake,,Panther Lake,2026-01-04 07:03:22,2026-01-15 05:21:10,High,Connectivity,0.3712,2-High
2026,,false,[MI][Huaqin][N56SR\N57SR]BT YB During reboot test,BT,Panther Lake,,Panther Lake,2026-01-04 05:52:32,2026-01-27 06:41:38,Low,YB/Lost,0.4795,4-Low
2026,,false,ICPS Bluetooth LE over-ear headphone icon is different from OS icon,BT,Lunar Lake,,Lunar Lake,2026-01-05 11:09:11,2026-03-05 08:22:12,Low,ICPS/Killer,0.1796,4-Low
2026,,false,[Lenovo-Ideapad][YOGA9P 16][PTL/BE211][25H2] EVO BT audio test fail,BT,Panther Lake,,Panther Lake,2026-01-05 07:03:37,2026-01-08 07:51:55,Medium,Connectivity,0.1915,3-Medium
2026,,false,[HP][PAS]The sound is terrible after starting a PAS session,BT,Panther Lake,,Panther Lake,2026-01-05 07:48:46,2026-05-07 09:40:27,High,Connectivity,0.2969,2-High
2026,,false,[Lenovo][Kailash][PTL/BE211@1216/320Mhz][25H2]no a2dp profile when bluetooth headset connecting with a2dp offload off,BT,Panther Lake,,Panther Lake,2026-01-05 07:33:03,2026-01-15 05:22:01,High,Connectivity,0.329,2-High
2026,,false,[Dell_Compal][RNG][PTL][WhP2]Enabling the s-mono function causes noise during playback,BT,Panther Lake,,Panther Lake,2026-01-05 05:29:34,2026-02-10 02:43:47,High,Connectivity,0.2537,2-High
2026,,false,[Curie3 PTL-H] The BT6.0 device does not display 16bit 32k Hz when connected.,BT,Panther Lake,,Panther Lake,2026-01-05 03:15:41,2026-05-12 02:55:40,High,Connectivity,0.3375,2-High
2026,,false,[Foxconn]-[Acer]-[NB]-[Walrus_PTW]-Wireless connecivity solutions,WiFi,Panther Lake,,Panther Lake,2026-01-05 05:49:01,,Medium,P2P,0.1262,3-Medium
2026,,false,[Honor][LuxsharePC][Bingchuan][PTL][AX211][25H2][BT]BSOD 0x133 when test Stress_MultiMedia_00700,BT,Panther Lake,,Panther Lake,2026-01-06 06:13:00,2026-01-26 14:42:39,Medium,BSOD,0.6525,3-Medium
2026,,false,[Lenovo-Ideapad][YOGA9P 16][PTL/BE211][25H2] BT idle 0X9F BSOD,BT,Panther Lake,,Panther Lake,2026-01-06 02:32:45,2026-01-16 03:29:33,Medium,BSOD,0.4793,3-Medium
2026,,false,[Acer/Compal][Souffle_PTZ] AX211 Bluetooth shows YB after idle system 8~12 hrs.,BT,Panther Lake,,Panther Lake,2026-01-06 05:24:11,,Critical,YB/Lost,0.4439,1-Critical
2026,,false,[Honor][Huaqin][Lvzhou&LinhaiC][PTL][Intel AX211][WiFi][25H2]The Bluetooth driver in the MS scenario is highly active.,WiFi,Panther Lake,,Panther Lake,2026-01-06 09:00:56,2026-01-07 11:43:51,Low,Connectivity,0.2094,4-Low
2026,,false,[Honor][LUX][NvwaB][WiFi][AX211][25H2]The wifi device YB error code 10 after resume from S4(FR:1/units),WiFi,Raptor Lake Client Platforms,,Raptor Lake Client Platforms,2026-01-06 10:01:51,2026-03-03 03:18:39,High,YB/Lost,0.99,2-High
2026,,false,[Samsung][LNL][BE201][P251205-07630] P2P pairing failure - No auth start.,WiFi,Lunar Lake,,Lunar Lake,2026-01-07 10:44:00,,High,P2P,0.3096,2-High
2026,,false,[Acer][LongCheer][N827][PTL][DVT][Stingray_PTZ/Grouper_PTZ]The sound output device  will slower then 20s to show after  connected   by BT,BT,Panther Lake,,Panther Lake,2026-01-07 03:46:03,2026-01-28 08:17:45,Low,Connectivity,0.375,4-Low
2026,,false,Issue: Missing UDP_COALESCED_INFO Control Message When URO Is Enabled,WiFi,Panther Lake,,Panther Lake,2026-01-07 09:56:31,2026-02-06 06:13:39,High,Connectivity,0.1141,2-High
