source_file,technology,ips_title,predicted_category_model,predicted_category_existing,human_category,confidence
wifi_tools_piece_01_of_07_Timdaway.csv,wifi,AX201 wifi driver 802.11g throughputissue,Connectivity,Connectivity,Performance,0.1177
weekly_labels_20260501_170001.csv,wifi,"[Haier][Wingtech][G1][ADL-P][Ax210][21H2]With the PC connection to the WiFi for a long-time suspension test, the WLAN driver has a loss problem [3 / 3]",Connectivity,Connectivity,Connectivity,0.1219
wifi_tools_piece_03_of_07_FrankLee.csv,wifi,"[Haier][Wingtech][G1][ADL-P][Ax210][21H2]With the PC connection to the WiFi for a long-time suspension test, the WLAN driver has a loss problem [3 / 3]",Connectivity,Connectivity,Connectivity,0.1219
weekly_labels_20260501_170001.csv,WiFi,[DELL][Field]Intel(R) Wi-Fi 7 BE200 is unable to connect WIFI-6E 6GHz networks in Windows 10/11 in Macao,Connectivity,P2P,Connectivity,0.1280
weekly_labels_20260508_230403.csv,WiFi,[DELL][Field]Intel(R) Wi-Fi 7 BE200 is unable to connect WIFI-6E 6GHz networks in Windows 10/11 in Macao,Connectivity,P2P,Connectivity,0.1280
wifi_tools_piece_06_of_07_Zhiqiang (2).csv,wifi,P178G002/P179G002 update KC Wifi 7,Connectivity,Connectivity,Connectivity,0.1280
wifi_tools_piece_07_of_07_Brenton.csv,wifi,BT MCC jump to 3030 due to Wi-Fi,YB/Lost,Connectivity,YB/Lost,0.1290
wifi_tools_piece_06_of_07_Zhiqiang (2).csv,wifi,Z93 WiFi 5Ghz band 160M-BW DFS fail issue,Connectivity,Connectivity,Connectivity,0.1301
wifi_tools_piece_01_of_07_Timdaway.csv,wifi,The system cannot scan for the 6GHz mobile Hotspot (VLP).,Connectivity,Power Consumption,Connectivity,0.1302
wifi_tools_piece_01_of_07_Timdaway.csv,wifi,Clevo_X560WNx_ARL-HX_AX201 WiFi connect issues,Connectivity,Connectivity,Connectivity,0.1322
wifi_tools_piece_06_of_07_Zhiqiang (2).csv,wifi,Wireless WiFi is lost on 23.160,YB/Lost,Connectivity,Connectivity,0.1322
weekly_labels_20260508_230403.csv,WiFi,HP Printing - Error when printing large format jobs causes brief disconnection - Intel Wi-Fi 6E AX211 and AX201 160Mhz,Sensing,Sensing,Connectivity,0.1324
